epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,3186.11,0.87187,0.45338,0.81417,0.96179,0.94008,0.97029,0.73475,0.75955,0.37242,0.7985,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3253.82,0.86225,0.45089,0.81446,0.96421,0.94038,0.97197,0.73912,0.75744,0.37345,0.79818,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3321.91,0.86111,0.44874,0.81247,0.96255,0.94522,0.97337,0.73848,0.75806,0.371,0.79808,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3389.69,0.85828,0.44772,0.81147,0.95795,0.95022,0.97288,0.73859,0.75629,0.37014,0.79749,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3457.41,0.85442,0.44244,0.81151,0.96548,0.9448,0.97285,0.73902,0.75552,0.36871,0.79745,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3525.25,0.85122,0.44048,0.81088,0.96058,0.94992,0.97314,0.74134,0.75093,0.36688,0.79727,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3593.41,0.8474,0.43793,0.80934,0.96409,0.94668,0.974,0.74394,0.74836,0.36551,0.797,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3661.43,0.85374,0.44062,0.81261,0.96432,0.94457,0.97451,0.74586,0.74543,0.36245,0.79694,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3730,0.8406,0.43476,0.81001,0.96464,0.94894,0.9752,0.74637,0.74529,0.3603,0.79677,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3797.92,0.84534,0.43457,0.81161,0.96127,0.95028,0.97503,0.74547,0.74554,0.3589,0.79667,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3865.64,0.83754,0.42818,0.80927,0.96532,0.9444,0.97555,0.74666,0.74398,0.3576,0.79633,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
