epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,5194.43,0.74307,0.36183,0.80051,0.96601,0.95415,0.97345,0.75057,0.73086,0.33878,0.79703,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5255.84,0.74344,0.35858,0.79855,0.96607,0.95386,0.97342,0.75197,0.72976,0.3384,0.79693,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5316.48,0.73922,0.35776,0.79854,0.96676,0.95424,0.97353,0.75192,0.72942,0.3384,0.79684,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5381.45,0.74028,0.35801,0.79941,0.96682,0.95406,0.97361,0.75201,0.72942,0.33827,0.79687,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5443.11,0.73705,0.35532,0.8005,0.96695,0.95405,0.97573,0.75244,0.72876,0.33834,0.79678,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5505.06,0.73613,0.35466,0.7994,0.96677,0.9526,0.97554,0.75261,0.72871,0.33792,0.79678,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,5567.35,0.70515,0.33664,0.79841,0.96726,0.9543,0.97559,0.75264,0.72884,0.33822,0.79672,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5627.61,0.69303,0.32907,0.79568,0.96688,0.95439,0.97558,0.75257,0.72887,0.33829,0.79668,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5687.6,0.68809,0.32626,0.79739,0.96696,0.95399,0.97564,0.7527,0.72854,0.33773,0.79667,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5747.71,0.68235,0.32163,0.79787,0.96672,0.95404,0.9737,0.75285,0.72798,0.33762,0.79666,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5807.99,0.67875,0.32079,0.79706,0.96736,0.95256,0.97367,0.75284,0.72793,0.33734,0.79652,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5867.93,0.6739,0.31449,0.79483,0.96773,0.95212,0.97361,0.75343,0.72729,0.33756,0.79649,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5928.2,0.6699,0.31343,0.79283,0.96954,0.95249,0.97378,0.75373,0.72658,0.33686,0.79643,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5988.3,0.66218,0.30883,0.79218,0.9702,0.95249,0.9737,0.75369,0.72631,0.33674,0.79641,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6048.29,0.66137,0.30887,0.79353,0.97028,0.95185,0.97373,0.75425,0.72556,0.33667,0.79632,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6108.57,0.65414,0.30539,0.79215,0.97064,0.95411,0.97384,0.75449,0.72536,0.3365,0.79627,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
