epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,988.128,0.85248,0.49944,0.81882,0.7816,0.60605,0.6681,0.42944,1.17383,0.99024,0.84283,0.000367967,0.000367967,0.000367967
77,1000.9,0.85108,0.49684,0.81596,0.80641,0.60232,0.67951,0.4376,1.16559,0.97084,0.84101,0.00035382,0.00035382,0.00035382
78,1013.72,0.83041,0.48134,0.81601,0.77106,0.6224,0.67864,0.43454,1.1894,0.96774,0.84422,0.000339673,0.000339673,0.000339673
79,1026.6,0.84479,0.49083,0.81444,0.7632,0.62337,0.67037,0.43371,1.15227,0.97979,0.83998,0.000325526,0.000325526,0.000325526
80,1039.39,0.83226,0.48927,0.81769,0.75684,0.58145,0.64404,0.42358,1.17417,1.02201,0.84502,0.000311379,0.000311379,0.000311379
81,1052.44,0.85068,0.49279,0.81321,0.76994,0.59784,0.6632,0.43398,1.16852,0.97407,0.84133,0.000297232,0.000297232,0.000297232
82,1065.3,0.8298,0.4837,0.81077,0.79507,0.59814,0.67066,0.44167,1.15382,0.97103,0.83965,0.000283085,0.000283085,0.000283085
83,1078.55,0.82877,0.47588,0.81375,0.78658,0.61116,0.67605,0.43483,1.18249,0.95884,0.84318,0.000268938,0.000268938,0.000268938
84,1091.44,0.8202,0.47235,0.8086,0.79164,0.61441,0.68048,0.4407,1.1905,0.95163,0.84334,0.000254791,0.000254791,0.000254791
85,1104.37,0.82389,0.4751,0.81256,0.78514,0.61854,0.67797,0.44103,1.18024,0.94132,0.8432,0.000240644,0.000240644,0.000240644
86,1117.3,0.82363,0.47545,0.81167,0.77685,0.5966,0.66352,0.43397,1.181,0.98151,0.84427,0.000226497,0.000226497,0.000226497
87,1130.13,0.81988,0.4702,0.8116,0.76015,0.61703,0.67417,0.44013,1.16945,0.97131,0.84232,0.000212349,0.000212349,0.000212349
88,1142.94,0.80869,0.46695,0.80986,0.76414,0.62209,0.66355,0.43911,1.15624,0.95905,0.84253,0.000198202,0.000198202,0.000198202
89,1155.77,0.80172,0.45368,0.81193,0.76906,0.61048,0.66979,0.43676,1.16637,0.96245,0.84243,0.000184055,0.000184055,0.000184055
90,1168.7,0.81842,0.46601,0.80804,0.77883,0.60864,0.66352,0.43396,1.16914,0.97245,0.84223,0.000169908,0.000169908,0.000169908
91,1182.55,0.76043,0.42617,0.81159,0.77719,0.58516,0.64777,0.42315,1.16526,0.99811,0.84104,0.000155761,0.000155761,0.000155761
92,1194.7,0.75079,0.4183,0.80889,0.79854,0.58977,0.65894,0.43349,1.16219,0.99068,0.84057,0.000141614,0.000141614,0.000141614
93,1206.84,0.73586,0.41085,0.80592,0.7982,0.58014,0.65292,0.42812,1.16417,0.99861,0.84202,0.000127467,0.000127467,0.000127467
94,1219.01,0.74196,0.40801,0.80737,0.82253,0.5876,0.66733,0.43632,1.16122,0.96091,0.84101,0.00011332,0.00011332,0.00011332
95,1231.15,0.72981,0.40428,0.80723,0.76824,0.58928,0.65281,0.42783,1.15484,1.00686,0.84152,9.91726e-05,9.91726e-05,9.91726e-05
96,1243.27,0.73006,0.40342,0.80826,0.81876,0.57229,0.64851,0.42417,1.17426,0.99106,0.84324,8.50255e-05,8.50255e-05,8.50255e-05
97,1255.46,0.72748,0.39931,0.80753,0.81738,0.56651,0.65177,0.42126,1.18593,0.97881,0.84454,7.08784e-05,7.08784e-05,7.08784e-05
98,1267.59,0.73617,0.40765,0.80934,0.80407,0.58098,0.65394,0.43084,1.1558,0.98559,0.84084,5.67313e-05,5.67313e-05,5.67313e-05
99,1279.83,0.71381,0.39762,0.80543,0.76755,0.59188,0.65205,0.4283,1.16053,0.99085,0.84174,4.25842e-05,4.25842e-05,4.25842e-05
100,1292.01,0.72611,0.39876,0.8039,0.80068,0.57857,0.65347,0.42961,1.16202,0.98458,0.84155,2.84371e-05,2.84371e-05,2.84371e-05
